Date,Open,High,Low,Close,Adj Close,Volume
23-Dec-21,0.72129,0.7245,0.7198,0.7214,0.7214,0
24-Dec-21,0.72323,0.72481,0.72221,0.72332,0.72332,0
27-Dec-21,0.723071,0.7244,0.72062,0.723129,0.723129,0
28-Dec-21,0.72355,0.7265,0.72201,0.7237,0.7237,0
29-Dec-21,0.7233,0.727326,0.72138,0.7234,0.7234,0
30-Dec-21,0.7262,0.72786,0.72442,0.725879,0.725879,0
31-Dec-21,0.725111,0.7276,0.72447,0.72498,0.72498,0
03-Jan-22,0.72685,0.727908,0.71859,0.726818,0.726818,0
04-Jan-22,0.71969,0.7249,0.71853,0.7198,0.7198,0
05-Jan-22,0.724108,0.72718,0.72234,0.72388,0.72388,0
06-Jan-22,0.7223,0.7223,0.71466,0.72208,0.72208,0
07-Jan-22,0.716399,0.718592,0.713109,0.71626,0.71626,0
10-Jan-22,0.71787,0.720513,0.714939,0.717911,0.717911,0
11-Jan-22,0.7182,0.720098,0.71557,0.7181,0.7181,0
12-Jan-22,0.7213,0.72792,0.72009,0.72098,0.72098,0
13-Jan-22,0.7282,0.7314,0.72749,0.728221,0.728221,0
14-Jan-22,0.72802,0.729501,0.72218,0.728226,0.728226,0
17-Jan-22,0.721641,0.7231,0.71962,0.721652,0.721652,0
18-Jan-22,0.72116,0.722778,0.717618,0.72108,0.72108,0
19-Jan-22,0.71893,0.72381,0.71787,0.71875,0.71875,0
20-Jan-22,0.721813,0.72756,0.721673,0.7217,0.7217,0
21-Jan-22,0.72175,0.72175,0.71817,0.721709,0.721709,0
24-Jan-22,0.718649,0.718907,0.70924,0.718788,0.718788,0
25-Jan-22,0.71551,0.71724,0.71219,0.71545,0.71545,0
26-Jan-22,0.71588,0.7178,0.71508,0.71588,0.71588,0
27-Jan-22,0.71214,0.71214,0.70421,0.7123,0.7123,0
28-Jan-22,0.7037,0.704722,0.69686,0.70355,0.70355,0
31-Jan-22,0.699428,0.707914,0.69932,0.6998,0.6998,0
01-Feb-22,0.70659,0.711794,0.70347,0.70683,0.70683,0
02-Feb-22,0.713409,0.71584,0.71193,0.713399,0.713399,0
03-Feb-22,0.712088,0.7168,0.71099,0.71208,0.71208,0
04-Feb-22,0.71419,0.7153,0.70523,0.7145,0.7145,0
07-Feb-22,0.70798,0.7123,0.70659,0.70803,0.70803,0
08-Feb-22,0.7128,0.713878,0.71076,0.713,0.713,0
09-Feb-22,0.714602,0.71941,0.71432,0.714592,0.714592,0
10-Feb-22,0.71767,0.72481,0.71513,0.717741,0.717741,0
11-Feb-22,0.71616,0.718391,0.71105,0.71617,0.71617,0
14-Feb-22,0.714658,0.714658,0.708692,0.71448,0.71448,0
15-Feb-22,0.71328,0.71561,0.710358,0.71321,0.71321,0
16-Feb-22,0.714842,0.718494,0.71449,0.714909,0.714909,0
17-Feb-22,0.71925,0.72175,0.715159,0.71945,0.71945,0
18-Feb-22,0.718721,0.723,0.71676,0.718933,0.718933,0
21-Feb-22,0.717231,0.7223,0.716841,0.71717,0.71717,0
22-Feb-22,0.7186,0.7234,0.7182,0.71845,0.71845,0
23-Feb-22,0.72273,0.72838,0.72213,0.72269,0.72269,0
24-Feb-22,0.722862,0.722862,0.709628,0.7228,0.7228,0
25-Feb-22,0.71602,0.723558,0.714602,0.71602,0.71602,0
28-Feb-22,0.718081,0.726375,0.716949,0.718649,0.718649,0
01-Mar-22,0.726111,0.7291,0.724559,0.7262,0.7262,0
02-Mar-22,0.726058,0.72902,0.724412,0.726143,0.726143,0
03-Mar-22,0.72927,0.7348,0.72764,0.729341,0.729341,0
04-Mar-22,0.73363,0.737517,0.73032,0.7337,0.7337,0
07-Mar-22,0.739208,0.743749,0.73196,0.739481,0.739481,0
08-Mar-22,0.73293,0.73479,0.724659,0.73285,0.73285,0
