Date,Relative_interest_rate,Open,High,Low,Close,Adj Close,AU_interest_rate,US_interest_rate
Apr-16,0.81,0.766989,0.783515,0.7494,0.760688,0.760688,2,0.38
May-16,0.78,0.761093,0.771307,0.714623,0.71958,0.71958,1.75,0.38
Jun-16,0.78,0.723798,0.759705,0.720305,0.746993,0.746993,1.75,0.38
Jul-16,0.78,0.74499,0.767695,0.74118,0.758783,0.758783,1.75,0.38
Aug-16,0.75,0.758783,0.775735,0.749176,0.752445,0.752445,1.5,0.38
Sep-16,0.75,0.751936,0.773216,0.744934,0.762835,0.762835,1.5,0.38
Oct-16,0.75,0.766049,0.773575,0.750863,0.759821,0.759821,1.5,0.38
Nov-16,0.75,0.760803,0.777122,0.731315,0.748447,0.748447,1.5,0.38
Dec-16,0.58,0.739044,0.752389,0.716076,0.720929,0.720929,1.5,0.63
Jan-17,0.58,0.720929,0.760977,0.717,0.756544,0.756544,1.5,0.63
Feb-17,0.58,0.757805,0.774174,0.755201,0.767636,0.767636,1.5,0.63
Mar-17,0.41,0.764292,0.775074,0.749344,0.765521,0.765521,1.5,0.88
Apr-17,0.41,0.763009,0.765498,0.744103,0.748341,0.748341,1.5,0.88
May-17,0.41,0.748391,0.755687,0.73303,0.745935,0.745935,1.5,0.88
Jun-17,0.25,0.742556,0.77101,0.737354,0.768521,0.768521,1.5,1.13
Jul-17,0.25,0.769053,0.806582,0.757174,0.798594,0.798594,1.5,1.13
Aug-17,0.25,0.800378,0.804505,0.780823,0.790701,0.790701,1.5,1.13
Sep-17,0.25,0.794199,0.812427,0.780031,0.784628,0.784628,1.5,1.13
Oct-17,0.25,0.784006,0.78964,0.762672,0.769764,0.769764,1.5,1.13
Nov-17,0.25,0.765937,0.773036,0.753301,0.756659,0.756659,1.5,1.13
Dec-17,0.08,0.756487,0.782595,0.750221,0.780823,0.780823,1.5,1.38
Jan-18,0.08,0.780701,0.813603,0.780031,0.81011,0.81011,1.5,1.38
Feb-18,0.08,0.806192,0.806712,0.776036,0.779362,0.779362,1.5,1.38
Mar-18,-0.09,0.776199,0.791703,0.764351,0.767813,0.767813,1.5,1.63
Apr-18,-0.09,0.768344,0.781494,0.753296,0.757518,0.757518,1.5,1.63
May-18,-0.09,0.753284,0.760549,0.7414,0.757117,0.757117,1.5,1.63
Jun-18,-0.25,0.756144,0.767813,0.73303,0.734646,0.734646,1.5,1.88
Jul-18,-0.25,0.740466,0.748408,0.731315,0.74073,0.74073,1.5,1.88
Aug-18,-0.25,0.741851,0.745323,0.719011,0.726164,0.726164,1.5,1.88
Sep-18,-0.42,0.726164,0.7303,0.708617,0.722543,0.722543,1.5,2.13
Oct-18,-0.42,0.722298,0.723746,0.702198,0.709925,0.709925,1.5,2.13
Nov-18,-0.42,0.708316,0.734484,0.70808,0.732188,0.732188,1.5,2.13
Dec-18,-0.59,0.732279,0.739317,0.701804,0.704473,0.704473,1.5,2.38
Jan-19,-0.59,0.704176,0.72948,0.691946,0.725468,0.725468,1.5,2.38
Feb-19,-0.59,0.72722,0.728385,0.705567,0.714847,0.714847,1.5,2.38
Mar-19,-0.59,0.710021,0.716794,0.700388,0.708717,0.708717,1.5,2.38
Apr-19,-0.59,0.711339,0.720565,0.699007,0.705517,0.705517,1.5,2.38
May-19,-0.59,0.704871,0.706414,0.686248,0.690608,0.690608,1.5,2.38
Jun-19,-0.90,0.690512,0.702691,0.683312,0.700378,0.700378,1.25,2.38
Jul-19,-1.38,0.702232,0.707914,0.686351,0.687522,0.687522,1,2.38
Aug-19,-1.13,0.684491,0.68654,0.667851,0.673582,0.673582,1,2.13
Sep-19,-0.88,0.673559,0.689465,0.668896,0.676087,0.676087,1,1.88
Oct-19,-1.17,0.675402,0.6932,0.667156,0.689788,0.689788,0.75,1.63
Nov-19,-1.17,0.68935,0.6929,0.67559,0.67654,0.67654,0.75,1.63
